Series Id	Year	Period	Value
PRS85006163	1947	Q01	26.254
PRS85006163	1947	Q02	26.736
PRS85006163	1947	Q03	25.798
PRS85006163	1947	Q04	26.931
PRS85006163	1948	Q01	27.089
PRS85006163	1948	Q02	26.929
PRS85006163	1948	Q03	26.879
PRS85006163	1948	Q04	26.901
PRS85006163	1949	Q01	27.153
PRS85006163	1949	Q02	27.328
PRS85006163	1949	Q03	27.871
PRS85006163	1949	Q04	27.748
PRS85006163	1950	Q01	28.845
PRS85006163	1950	Q02	29.272
PRS85006163	1950	Q03	30.048
PRS85006163	1950	Q04	30.137
PRS85006163	1951	Q01	30.209
PRS85006163	1951	Q02	30.106
PRS85006163	1951	Q03	30.612
PRS85006163	1951	Q04	30.682
PRS85006163	1952	Q01	30.983
PRS85006163	1952	Q02	30.746
PRS85006163	1952	Q03	30.650
PRS85006163	1952	Q04	31.393
PRS85006163	1953	Q01	31.661
PRS85006163	1953	Q02	31.677
PRS85006163	1953	Q03	31.556
PRS85006163	1953	Q04	31.374
PRS85006163	1954	Q01	31.382
PRS85006163	1954	Q02	31.629
PRS85006163	1954	Q03	32.150
PRS85006163	1954	Q04	32.668
PRS85006163	1955	Q01	33.467
PRS85006163	1955	Q02	33.638
PRS85006163	1955	Q03	33.769
PRS85006163	1955	Q04	33.720
PRS85006163	1956	Q01	33.199
PRS85006163	1956	Q02	33.232
PRS85006163	1956	Q03	33.236
PRS85006163	1956	Q04	33.654
PRS85006163	1957	Q01	33.924
PRS85006163	1957	Q02	33.564
PRS85006163	1957	Q03	33.954
PRS85006163	1957	Q04	33.766
PRS85006163	1958	Q01	33.252
PRS85006163	1958	Q02	33.924
PRS85006163	1958	Q03	34.721
PRS85006163	1958	Q04	35.485
PRS85006163	1959	Q01	35.652
PRS85006163	1959	Q02	36.106
PRS85006163	1959	Q03	36.043
PRS85006163	1959	Q04	35.844
PRS85006163	1960	Q01	36.602
PRS85006163	1960	Q02	36.050
PRS85006163	1960	Q03	36.304
PRS85006163	1960	Q04	35.680
PRS85006163	1961	Q01	36.063
PRS85006163	1961	Q02	36.998
PRS85006163	1961	Q03	37.685
PRS85006163	1961	Q04	38.150
PRS85006163	1962	Q01	38.676
PRS85006163	1962	Q02	38.703
PRS85006163	1962	Q03	39.331
PRS85006163	1962	Q04	39.474
PRS85006163	1963	Q01	39.635
PRS85006163	1963	Q02	40.019
PRS85006163	1963	Q03	40.892
PRS85006163	1963	Q04	40.969
PRS85006163	1964	Q01	41.723
PRS85006163	1964	Q02	42.047
PRS85006163	1964	Q03	42.391
PRS85006163	1964	Q04	42.037
PRS85006163	1965	Q01	42.874
PRS85006163	1965	Q02	42.987
PRS85006163	1965	Q03	43.751
PRS85006163	1965	Q04	44.531
PRS85006163	1966	Q01	45.230
PRS85006163	1966	Q02	44.783
PRS85006163	1966	Q03	44.762
PRS85006163	1966	Q04	44.840
PRS85006163	1967	Q01	44.959
PRS85006163	1967	Q02	44.840
PRS85006163	1967	Q03	45.028
PRS85006163	1967	Q04	45.136
PRS85006163	1968	Q01	45.988
PRS85006163	1968	Q02	46.503
PRS85006163	1968	Q03	46.519
PRS85006163	1968	Q04	46.184
PRS85006163	1969	Q01	46.521
PRS85006163	1969	Q02	46.075
PRS85006163	1969	Q03	46.031
PRS85006163	1969	Q04	45.628
PRS85006163	1970	Q01	45.575
PRS85006163	1970	Q02	45.924
PRS85006163	1970	Q03	46.431
PRS85006163	1970	Q04	45.969
PRS85006163	1971	Q01	47.337
PRS85006163	1971	Q02	47.455
PRS85006163	1971	Q03	47.825
PRS85006163	1971	Q04	47.577
PRS85006163	1972	Q01	48.333
PRS85006163	1972	Q02	49.275
PRS85006163	1972	Q03	49.521
PRS85006163	1972	Q04	49.875
PRS85006163	1973	Q01	50.948
PRS85006163	1973	Q02	50.940
PRS85006163	1973	Q03	50.465
PRS85006163	1973	Q04	50.006
PRS85006163	1974	Q01	49.535
PRS85006163	1974	Q02	49.247
PRS85006163	1974	Q03	48.607
PRS85006163	1974	Q04	48.721
PRS85006163	1975	Q01	48.702
PRS85006163	1975	Q02	49.416
PRS85006163	1975	Q03	50.114
PRS85006163	1975	Q04	50.422
PRS85006163	1976	Q01	51.338
PRS85006163	1976	Q02	51.459
PRS85006163	1976	Q03	51.485
PRS85006163	1976	Q04	51.521
PRS85006163	1977	Q01	51.782
PRS85006163	1977	Q02	52.078
PRS85006163	1977	Q03	52.511
PRS85006163	1977	Q04	51.767
PRS85006163	1978	Q01	51.418
PRS85006163	1978	Q02	52.921
PRS85006163	1978	Q03	52.872
PRS85006163	1978	Q04	53.155
PRS85006163	1979	Q01	52.436
PRS85006163	1979	Q02	52.044
PRS85006163	1979	Q03	52.138
PRS85006163	1979	Q04	52.066
PRS85006163	1980	Q01	52.036
PRS85006163	1980	Q02	51.077
PRS85006163	1980	Q03	51.190
PRS85006163	1980	Q04	51.955
PRS85006163	1981	Q01	52.820
PRS85006163	1981	Q02	51.927
PRS85006163	1981	Q03	52.212
PRS85006163	1981	Q04	51.695
PRS85006163	1982	Q01	50.968
PRS85006163	1982	Q02	51.326
PRS85006163	1982	Q03	51.429
PRS85006163	1982	Q04	51.834
PRS85006163	1983	Q01	52.723
PRS85006163	1983	Q02	53.998
PRS85006163	1983	Q03	54.514
PRS85006163	1983	Q04	54.858
PRS85006163	1984	Q01	55.303
PRS85006163	1984	Q02	55.695
PRS85006163	1984	Q03	55.725
PRS85006163	1984	Q04	55.730
PRS85006163	1985	Q01	55.934
PRS85006163	1985	Q02	56.177
PRS85006163	1985	Q03	56.779
PRS85006163	1985	Q04	56.915
PRS85006163	1986	Q01	57.457
PRS85006163	1986	Q02	57.566
PRS85006163	1986	Q03	57.649
PRS85006163	1986	Q04	57.597
PRS85006163	1987	Q01	57.635
PRS85006163	1987	Q02	57.943
PRS85006163	1987	Q03	57.929
PRS85006163	1987	Q04	58.618
PRS85006163	1988	Q01	58.489
PRS85006163	1988	Q02	58.791
PRS85006163	1988	Q03	58.814
PRS85006163	1988	Q04	59.108
PRS85006163	1989	Q01	59.316
PRS85006163	1989	Q02	59.539
PRS85006163	1989	Q03	59.916
PRS85006163	1989	Q04	59.693
PRS85006163	1990	Q01	60.098
PRS85006163	1990	Q02	60.245
PRS85006163	1990	Q03	60.283
PRS85006163	1990	Q04	59.653
PRS85006163	1991	Q01	59.680
PRS85006163	1991	Q02	60.553
PRS85006163	1991	Q03	61.158
PRS85006163	1991	Q04	61.420
PRS85006163	1992	Q01	62.594
PRS85006163	1992	Q02	63.283
PRS85006163	1992	Q03	63.808
PRS85006163	1992	Q04	64.297
PRS85006163	1993	Q01	63.794
PRS85006163	1993	Q02	63.625
PRS85006163	1993	Q03	63.972
PRS85006163	1993	Q04	64.340
PRS85006163	1994	Q01	64.443
PRS85006163	1994	Q02	64.914
PRS85006163	1994	Q03	64.554
PRS85006163	1994	Q04	65.138
PRS85006163	1995	Q01	64.918
PRS85006163	1995	Q02	64.864
PRS85006163	1995	Q03	65.208
PRS85006163	1995	Q04	65.545
PRS85006163	1996	Q01	65.617
PRS85006163	1996	Q02	66.455
PRS85006163	1996	Q03	66.826
PRS85006163	1996	Q04	67.006
PRS85006163	1997	Q01	66.926
PRS85006163	1997	Q02	67.858
PRS85006163	1997	Q03	68.489
PRS85006163	1997	Q04	68.719
PRS85006163	1998	Q01	69.406
PRS85006163	1998	Q02	69.648
PRS85006163	1998	Q03	70.384
PRS85006163	1998	Q04	71.446
PRS85006163	1999	Q01	72.196
PRS85006163	1999	Q02	72.388
PRS85006163	1999	Q03	73.111
PRS85006163	1999	Q04	74.180
PRS85006163	2000	Q01	73.791
PRS85006163	2000	Q02	75.202
PRS85006163	2000	Q03	75.064
PRS85006163	2000	Q04	75.545
PRS85006163	2001	Q01	74.929
PRS85006163	2001	Q02	75.864
PRS85006163	2001	Q03	75.974
PRS85006163	2001	Q04	76.749
PRS85006163	2002	Q01	78.297
PRS85006163	2002	Q02	78.824
PRS85006163	2002	Q03	79.258
PRS85006163	2002	Q04	79.234
PRS85006163	2003	Q01	79.594
PRS85006163	2003	Q02	80.580
PRS85006163	2003	Q03	82.339
PRS85006163	2003	Q04	83.184
PRS85006163	2004	Q01	83.069
PRS85006163	2004	Q02	83.538
PRS85006163	2004	Q03	84.045
PRS85006163	2004	Q04	84.450
PRS85006163	2005	Q01	85.221
PRS85006163	2005	Q02	85.247
PRS85006163	2005	Q03	85.609
PRS85006163	2005	Q04	85.824
PRS85006163	2006	Q01	86.694
